"Povpreène meseène plaèe po: SKD DEJAVNOST, UPRAVNA ENOTA, MESEC,"
"MERITVE , PLAÈE"

" ";" ";" ";"Plaèa za mesec [EUR]";" "
" ";" ";" ";"Bruto plaèa";"Neto plaèa"
"SKD Dejavnost - SKUPAJ"
" ";"SLOVENIJA"
" ";" ";"2005M01";1116.44;715.15
" ";" ";"2005M02";1097.11;703.39
" ";" ";"2005M03";1133.86;721.26
" ";" ";"2005M04";1124.06;716.82
" ";" ";"2005M05";1134.26;723.53
" ";" ";"2005M06";1133.59;721.80
" ";" ";"2005M07";1132.61;722.56
" ";" ";"2005M08";1164.41;740.13
" ";" ";"2005M09";1157.46;735.55
" ";" ";"2005M10";1166.36;740.70
" ";" ";"2005M11";1310.15;818.19
" ";" ";"2005M12";1212.25;768.48
" ";" ";"2006M01";1175.07;751.93
" ";" ";"2006M02";1157.58;742.18
" ";" ";"2006M03";1192.16;759.40
" ";" ";"2006M04";1167.98;745.77
" ";" ";"2006M05";1194.78;762.13
" ";" ";"2006M06";1192.33;760.62
" ";" ";"2006M07";1181.14;755.31
" ";" ";"2006M08";1210.76;771.25
" ";" ";"2006M09";1199.95;764.58
" ";" ";"2006M10";1223.17;777.40
" ";" ";"2006M11";1392.92;868.78
" ";" ";"2006M12";1261.09;818.94
" ";" ";"2007M01";1250.34;815.68
" ";" ";"2007M02";1212.82;792.97
" ";" ";"2007M03";1252.12;815.34
" ";" ";"2007M04";1237.42;807.86
" ";" ";"2007M05";1263.57;822.34
" ";" ";"2007M06";1254.36;817.15
" ";" ";"2007M07";1262.95;822.68
" ";" ";"2007M08";1279.40;833.08
" ";" ";"2007M09";1259.07;820.47
" ";" ";"2007M10";1303.92;846.38
" ";" ";"2007M11";1491.65;945.34
" ";" ";"2007M12";1342.80;870.70
" ";" ";"2008M01";1326.19;864.43
" ";" ";"2008M02";1325.73;864.50
" ";" ";"2008M03";1352.87;878.73
" ";" ";"2008M04";1354.42;879.19
" ";" ";"2008M05";1360.20;882.94
" ";" ";"2008M06";1364.53;883.58
" ";" ";"2008M07";1372.46;890.24
" ";" ";"2008M08";1405.00;909.12
" ";" ";"2008M09";1400.21;905.13
" ";" ";"2008M10";1424.08;917.64
" ";" ";"2008M11";1550.29;981.58
" ";" ";"2008M12";1457.66;938.66
" ";" ";"2009M01";1416.40;917.15
" ";" ";"2009M02";1381.87;898.74
" ";" ";"2009M03";1425.05;921.69
" ";" ";"2009M04";1423.19;920.67
" ";" ";"2009M05";1415.38;917.56
" ";" ";"2009M06";1429.12;924.64
" ";" ";"2009M07";1424.23;922.14
" ";" ";"2009M08";1415.08;918.28
" ";" ";"2009M09";1433.93;929.36
" ";" ";"2009M10";1448.13;935.11
" ";" ";"2009M11";1570.53;999.49
" ";" ";"2009M12";1488.19;957.14
" ";" ";"2010M01";1448.12;936.77
" ";" ";"2010M02";1431.45;930.01
" ";" ";"2010M03";1499.23;967.32
" ";" ";"2010M04";1483.44;960.02
" ";" ";"2010M05";1475.04;956.55
" ";" ";"2010M06";1491.57;965.71
" ";" ";"2010M07";1480.69;960.14
" ";" ";"2010M08";1487.20;964.55
" ";" ";"2010M09";1485.58;963.84
" ";" ";"2010M10";1487.86;964.48
" ";" ";"2010M11";1634.48;1041.19
" ";" ";"2010M12";1534.04;988.96
" ";" ";"2011M01";1496.35;971.83
" ";" ";"2011M02";1493.54;969.92
" ";" ";"2011M03";1523.98;987.03
" ";" ";"2011M04";1504.65;975.98
" ";" ";"2011M05";1515.63;982.99
" ";" ";"2011M06";1520.92;985.95
" ";" ";"2011M07";1500.16;974.91
" ";" ";"2011M08";1524.15;988.45
" ";" ";"2011M09";1506.87;978.20
" ";" ";"2011M10";1510.44;979.53
" ";" ";"2011M11";1651.88;1053.96
" ";" ";"2011M12";1546.09;999.33
" ";" ";"2012M01";1529.04;993.53
" ";" ";"2012M02";1523.11;988.47
" ";" ";"2012M03";1535.11;995.20
" ";" ";"2012M04";1519.12;987.67
" ";" ";"2012M05";1535.93;996.62
" ";" ";"2012M06";1501.40;978.99
" ";" ";"2012M07";1498.05;976.81
" ";" ";"2012M08";1512.95;985.55
" ";" ";"2012M09";1489.00;972.73
" ";" ";"2012M10";1515.95;986.81
" ";" ";"2012M11";1611.93;1035.01
" ";" ";"2012M12";1534.54;1000.21
" ";" ";"2013M01";1523.80;998.18
" ";" ";"2013M02";1497.55;982.68
" ";" ";"2013M03";1520.08;993.70
" ";" ";"2013M04";1516.82;993.16
" ";" ";"2013M05";1523.65;997.13
" ";" ";"2013M06";1495.45;982.72
" ";" ";"2013M07";1510.02;990.88
" ";" ";"2013M08";1506.88;989.52
" ";" ";"2013M09";1495.28;983.30
" ";" ";"2013M10";1526.11;999.99
" ";" ";"2013M11";1617.19;1044.89
" ";" ";"2013M12";1544.85;1007.65
" ";" ";"2014M01";1534.54;1005.75
" ";" ";"2014M02";1520.88;994.34
" ";" ";"2014M03";1526.36;996.97
" ";" ";"2014M04";1531.56;1001.03
" ";" ";"2014M05";1531.66;1000.69
